lat	long	quadrant	continent.region	country
-30	137	5	Pacific	**
-30	138.8	5	Pacific	**
-30	140.6	5	Pacific	**
-30	142.4	5	Pacific	**
-30	144.2	5	Pacific	**
-30	146	5	Pacific	**
-30	147.8	5	Pacific	**
-30	149.6	5	Pacific	**
-30	151.4	5	Pacific	**
-30	153.2	5	Pacific	**
-28.3594	-70	7	Americas	Chile
-28.3594	-68.2	7	Americas	Chile
-28.3594	-66.4	7	Americas	Chile
-28.3594	-64.6	7	Americas	Chile
-28.3594	-62.8	7	Americas	Chile
-28.3594	-61	7	Americas	Chile
-28.3594	-59.2	7	Americas	Chile
-28.3594	-57.4	7	Americas	Chile
-28.3594	-55.6	7	Americas	Chile
-28.3594	-53.8	7	Americas	Chile
-28.3594	-52	7	Americas	Chile
-28.3594	-50.2	7	Americas	Chile
-28.3594	16.4	8	Africa	**
-28.3594	18.2	8	Africa	**
-28.3594	20	8	Africa	**
-28.3594	21.8	8	Africa	**
-28.3594	23.6	8	Africa	**
-28.3594	25.4	8	Africa	**
-28.3594	27.2	8	Africa	**
-28.3594	29	8	Africa	**
-28.3594	30.8	8	Africa	**
-28.3594	115.4	9	Pacific	**
-28.3594	117.2	9	Pacific	**
-28.3594	119	9	Pacific	**
-28.3594	120.8	10	Pacific	**
-28.3594	122.6	10	Pacific	**
-28.3594	124.4	10	Pacific	**
-28.3594	126.2	10	Pacific	**
-28.3594	128	10	Pacific	**
-28.3594	129.8	10	Pacific	**
-28.3594	131.6	10	Pacific	**
-28.3594	133.4	10	Pacific	**
-28.3594	135.2	10	Pacific	**
-28.3594	137	10	Pacific	**
-28.3594	138.8	10	Pacific	**
-28.3594	140.6	10	Pacific	**
-28.3594	142.4	10	Pacific	**
-28.3594	144.2	10	Pacific	**
-28.3594	146	10	Pacific	**
-28.3594	147.8	10	Pacific	**
-28.3594	149.6	10	Pacific	**
-28.3594	151.4	10	Pacific	**
-28.3594	153.2	10	Pacific	**
-26.7437	-70	7	Americas	Chile
-26.7437	-68.2	7	Americas	Chile
-26.7437	-66.4	7	Americas	Chile
-26.7437	-64.6	7	Americas	Chile
-26.7437	-62.8	7	Americas	Chile
-26.7437	-61	7	Americas	Chile
-26.7437	-59.2	7	Americas	Chile
-26.7437	-57.4	7	Americas	Chile
-26.7437	-55.6	7	Americas	Chile
-26.7437	-53.8	7	Americas	Chile
-26.7437	-52	7	Americas	Chile
-26.7437	-50.2	7	Americas	Chile
-26.7437	16.4	8	Africa	**
-26.7437	18.2	8	Africa	**
-26.7437	20	8	Africa	**
-26.7437	21.8	8	Africa	**
-26.7437	23.6	8	Africa	**
-26.7437	25.4	8	Africa	**
-26.7437	27.2	8	Africa	**
-26.7437	29	8	Africa	**
-26.7437	30.8	8	Africa	**
-26.7437	32.6	8	Africa	**
